Name                                          Type        File
Bundle-complete                               Invariant   invariants\Bundle-complete.fsh
DiffTherapieart                               Invariant   invariants\DiffTherapieart.fsh
HLMKatalog                                    Invariant   invariants\HLMKatalog.fsh
KBV_CS_SFHIR_ICD_DIAGNOSESICHERHEIT           CodeSystem  codesystems\KBV_CS_SFHIR_ICD_DIAGNOSESICHERHEIT.fsh
KBV_CS_SFHIR_ICD_SEITENLOKALISATION           CodeSystem  codesystems\KBV_CS_SFHIR_ICD_SEITENLOKALISATION.fsh
KBV_VS_SFHIR_ICD_DIAGNOSESICHERHEIT           ValueSet    valuesets\KBV_VS_SFHIR_ICD_DIAGNOSESICHERHEIT.fsh
KBV_VS_SFHIR_ICD_SEITENLOKALISATION           ValueSet    valuesets\KBV_VS_SFHIR_ICD_SEITENLOKALISATION.fsh
KK_ELB_BillingContainerParameters             Profile     profiles\KK_ELB_BillingContainerParameters.fsh
KK_ELB_CS_HLM_LER_Zusatzinfos                 CodeSystem  codesystems\KK_ELB_CS_HLM_LER_Zusatzinfos.fsh
KK_ELB_CS_HLM_Section_Type                    CodeSystem  codesystems\KK_ELB_CS_HLM_Section_Type.fsh
KK_ELB_ChargeItem                             Profile     profiles\KK_ELB_ChargeItem.fsh
KK_ELB_Condition                              Profile     profiles\KK_ELB_Condition.fsh
KK_ELB_ConfirmationOfResponse                 Profile     profiles\KK_ELB_ConfirmationOfResponse.fsh
KK_ELB_ConfirmationRequestParameters          Profile     profiles\KK_ELB_ConfirmationRequestParameters.fsh
KK_ELB_EX_Zusatzinfos                         Extension   extensions\KK_ELB_EX_Zusatzinfos.fsh
KK_ELB_HLM_LER_Zusatzinfos_ServiceRequest     Profile     profiles\KK_ELB_HLM_LER_Zusatzinfos_ServiceRequest.fsh
KK_ELB_HLM_VO_Composition                     Profile     profiles\KK_ELB_HLM_VO_Composition.fsh
KK_ELB_HLM_VO_DocumentBundle                  Profile     profiles\KK_ELB_HLM_VO_DocumentBundle.fsh
KK_ELB_HLM_VO_ServiceRequest                  Profile     profiles\KK_ELB_HLM_VO_ServiceRequest.fsh
KK_ELB_Identifier_LBNR                        Profile     profiles\KK_ELB_Identifier_LBNR.fsh
KK_ELB_InvoiceContainerBundle                 Profile     profiles\KK_ELB_InvoiceContainerBundle.fsh
KK_ELB_ParticipationStatusRequestParameters   Profile     profiles\KK_ELB_ParticipationStatusRequestParameters.fsh
KK_ELB_ParticipationStatusResponseParameters  Profile     profiles\KK_ELB_ParticipationStatusResponseParameters.fsh
KK_ELB_Payor                                  Extension   extensions\KK_ELB_Payor.fsh
KK_ELB_PollingRequest                         Profile     profiles\KK_ELB_PollingRequest.fsh
KK_ELB_RequestType                            CodeSystem  codesystems\KK_ELB_RequestType.fsh
KK_ELB_ResponseComposition                    Profile     profiles\KK_ELB_ResponseComposition.fsh
KK_ELB_ResponseDocumentBundle                 Profile     profiles\KK_ELB_ResponseDocumentBundle.fsh
KK_ELB_ResponseParameters                     Profile     profiles\KK_ELB_ResponseParameters.fsh
KK_ELB_SGS                                    CodeSystem  codesystems\KK_ELB_SGS.fsh
KK_ELB_ServiceRequest                         Profile     profiles\KK_ELB_ServiceRequest.fsh
LBNR                                          Invariant   invariants\LBNR.fsh
LaengeLBNR                                    Invariant   invariants\LaengeLBNR.fsh
Parameters-endpoint-request-with-callback     Invariant   invariants\Parameters-endpoint-request-with-callback.fsh
Therapieart                                   Invariant   invariants\Therapieart.fsh
sig-1                                         Invariant   invariants\sig-1.fsh
